ANT1,-20.31,13.01,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,11.31,2.45,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-12.22,0.48,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,9.76,7.35,180.00,,NORDIC_NRF_3_RESC0201_L
C11,18.90,9.88,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,4.49,8.93,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,11.70,7.03,270.00,,NORDIC_NRF_3_RESC0201_L
C14,0.82,-8.36,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C15,8.64,8.53,90.00,1.0µF,NORDIC_NRF_3_RESC0402_L
C16,10.03,8.37,90.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,-7.38,0.76,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,-5.00,1.98,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-1.21,-5.09,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,12.58,14.02,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR1,-19.38,-15.81,180.30,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,6.52,-3.76,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C21,-0.25,2.00,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C22,18.44,12.20,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,6.17,-5.17,89.80,0.1uF,NORDIC_NRF_3_RESC0201_L
C24,4.98,-7.15,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,10.93,-2.76,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,1.07,-13.94,270.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C29,8.19,-12.92,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,16.19,12.57,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-13.56,-12.89,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,-2.96,-13.22,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,-3.74,-7.22,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,1.21,-6.26,270.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,-10.10,-0.30,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,4.05,-6.04,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,-1.97,3.06,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,8.90,-3.59,180.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,17.26,12.60,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,3.02,7.30,180.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C43,1.70,8.61,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,2.29,4.72,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,1.21,-2.77,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C7,-0.04,-7.05,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,7.98,-9.73,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,10.23,1.26,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-19.23,-12.51,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
